pos_x,pos_y
2.876615,0.0
3.077491,0.0
3.277881,0.0
3.481651,0.0
3.683225,0.0
3.888362,0.0
4.088582,0.0
4.289975,0.0
4.491009,0.0
4.69226,0.0
4.892759,0.0
5.093786,0.0
5.294314,0.0
5.495284,0.0
5.695422,0.0
5.897226,0.0
6.100393,0.0
6.30158,0.0
6.503174,0.0
6.707585,0.0
6.909004,0.0
7.109547,0.0
7.311058,0.0
7.512645,0.0
7.717466,0.0
7.918131,0.0
8.119159,0.0
8.319455,3e-06
8.521158,0.009334
8.724689,0.051482
8.927202,0.133121
9.127908,0.264474
9.321206,0.464595
9.443343,0.665603
9.517446,0.867114
9.555077,1.068222
9.582233,1.269225
9.608951,1.46961
9.635781,1.670876
9.66259,1.872047
9.689344,2.072851
9.716157,2.274152
9.74334,2.478286
9.770024,2.678744
9.777775,2.880508
9.745646,3.081002
9.691002,3.284688
9.658982,3.486982
9.664001,3.687151
9.664003,3.888087
9.664017,4.090338
9.664042,4.292985
9.664077,4.495645
9.664125,4.702412
9.664182,4.903386
9.66425,5.104373
9.664329,5.304672
9.664419,5.505247
9.66452,5.706423
9.664633,5.907043
9.664757,6.107371
9.664892,6.308838
9.665044,6.5169
9.665202,6.717493
9.665372,6.918915
9.665553,7.119495
9.665746,7.321078
9.665615,7.522689
9.64896,7.724093
9.597747,7.925061
9.505964,8.125092
9.359254,8.325547
9.157872,8.501035
8.957276,8.611468
8.754639,8.676873
8.554318,8.71623
8.353944,8.748408
8.153472,8.758686
7.953392,8.763896
7.753178,8.749505
7.55217,8.737645
7.351172,8.725781
7.15014,8.71391
6.949636,8.702065
6.749281,8.690224
6.548399,8.678347
6.347527,8.666466
6.146635,8.654578
5.943092,8.642527
5.743063,8.63068
5.541147,8.618716
5.340084,8.606796
5.13968,8.594911
4.93734,8.582905
4.735654,8.570933
4.529696,8.558702
4.32925,8.546792
4.129234,8.557241
3.928926,8.556713
3.727111,8.555588
3.52386,8.554455
3.320011,8.553318
3.118774,8.552196
2.918496,8.551079
2.717286,8.549956
2.51718,8.54884
2.316564,8.54772
2.112012,8.546579
1.911884,8.545462
1.711513,8.544343
1.508673,8.54321
1.306973,8.542084
1.106023,8.540962
0.905716,8.539843
0.704482,8.538718
0.503244,8.537594
0.302126,8.53647
0.100715,8.535344
-0.100142,8.534221
-0.300392,8.533101
-0.502359,8.531972
-0.703664,8.530846
-0.904959,8.52972
-1.105373,8.528598
-1.305543,8.527478
-1.509379,8.526337
-1.710734,8.52521
-1.911474,8.524086
-2.116268,8.52294
-2.317951,8.52181
-2.520288,8.520677
-2.720435,8.519555
-2.920546,8.518434
-3.121524,8.517308
-3.322638,8.516181
-3.523766,8.515053
-3.72532,8.513923
-3.925765,8.512799
-4.12767,8.511667
-4.32797,8.510543
-4.530231,8.509409
-4.731711,8.508278
-4.932754,8.50715
-5.133955,8.506021
-5.334352,8.504896
-5.535389,8.503767
-5.735648,8.502643
-5.93699,8.501512
-6.137313,8.500387
-6.338561,8.499256
-6.539516,8.498127
-6.740772,8.496996
-6.941405,8.495868
-7.143821,8.49473
-7.344298,8.493603
-7.545222,8.492473
-7.746977,8.491338
-7.948975,8.490202
-8.149666,8.489073
-8.350674,8.487942
-8.552568,8.486806
-8.753169,8.485677
-8.959157,8.484517
-9.160562,8.483383
-9.361873,8.48225
-9.562649,8.481119
-9.762983,8.47999
-9.965505,8.478849
-10.166434,8.477717
-10.368669,8.476577
-10.570571,8.475439
-10.771617,8.474306
-10.973012,8.47317
-11.174334,8.472035
-11.37484,8.470904
-11.575566,8.469772
-11.776978,8.468636
-11.977469,8.467504
-12.178417,8.46637
-12.380159,8.465232
-12.580647,8.4641
-12.784113,8.459576
-12.985676,8.428013
-13.186792,8.35956
-13.387487,8.245264
-13.590773,8.061343
-13.731079,7.86117
-13.82075,7.660914
-13.882554,7.460766
-13.899509,7.259874
-13.910557,7.059474
-13.912902,6.858674
-13.916162,6.658256
-13.919458,6.455566
-13.922715,6.255264
-13.926019,6.052073
-13.929277,5.85169
-13.932562,5.649614
-13.935862,5.446651
-13.939161,5.24366
-13.94242,5.043145
-13.945689,4.842028
-13.948943,4.641808
-13.952228,4.439663
-13.955481,4.239468
-13.958736,4.039115
-13.962007,3.837774
-13.96528,3.636259
-13.968645,3.429105
-13.97192,3.227452
-13.975179,3.02677
-13.978441,2.825932
-13.981694,2.625618
-13.98495,2.425069
-13.988208,2.224416
-13.991465,2.023752
-13.994765,1.820491
-13.998034,1.619076
-14.001301,1.417742
-14.004571,1.2163
-14.007936,1.008899
-14.010606,0.8071
-13.994016,0.599852
-13.942541,0.398449
-13.849754,0.197544
-13.702563,-0.002664
-13.502276,-0.176462
-13.300919,-0.286787
-13.100531,-0.351353
-12.900277,-0.378212
-12.69604,-0.369799
-12.495494,-0.343534
-12.295011,-0.353603
-12.094777,-0.344594
-11.893707,-0.333601
-11.691441,-0.322536
-11.491042,-0.311568
-11.289952,-0.300558
-11.088831,-0.289543
-10.887584,-0.278516
-10.687167,-0.26753
-10.486948,-0.256551
-10.285557,-0.245503
-10.085304,-0.234513
-9.88453,-0.22349
-9.683392,-0.212442
-9.482808,-0.201421
-9.279229,-0.19023
-9.060235,-0.178187
-8.860065,-0.167175
-8.658508,-0.156081
-8.457516,-0.145014
-8.257047,-0.133971
-8.05633,-0.122911
-7.8558,-0.111856
-7.655359,-0.100801
-7.455177,-0.089756
-7.254894,-0.078701
-7.051195,-0.067453
-6.850291,-0.056355
-6.649166,-0.04524
-6.443852,-0.033889
-6.243402,-0.022802
-6.042742,-0.011699
-5.84215,-0.000595
-5.635303,0.01086
-5.430341,0.022215
-5.225483,0.033569
-5.02425,0.044727
-4.822676,0.055908
-4.621641,0.067064
-4.420063,0.078254
-4.219273,0.089405
-4.017557,0.100613
-3.81611,0.111809
-3.615958,0.122939
-3.414041,0.134171
-3.213998,0.145303
-3.013394,0.156471
-2.812619,0.167654
-2.61094,0.17726
-2.410013,0.164144
-2.207106,0.116709
-2.006527,0.061476
-1.805986,0.026883
-1.605816,-0.00202
-1.40552,-0.009283
-1.204586,-0.008998
-1.002927,-0.008762
-0.80183,-0.008536
-0.59949,-0.00832
-0.398257,-0.008115
-0.197003,-0.007921
0.003366,-0.007739
0.203862,-0.007567
0.404116,-0.007406
0.605171,-0.007256
0.805561,-0.007117
1.006974,-0.006988
1.215381,-0.006867
1.416061,-0.006761
1.617927,-0.006666
1.819483,-0.006583
2.020428,-0.006511
2.22084,-0.00645
2.423661,-0.0064
2.624984,-0.006362
2.825891,-0.006335
3.027286,-0.006319
3.227557,-0.006314
3.428822,-0.006321
3.631785,-0.006339
3.832214,-0.006368
4.0329,-0.006408
4.233177,-0.00646
4.433621,-0.006522
4.635199,-0.006596
4.836191,-0.006682
5.037465,-0.006778
5.240835,-0.006887
5.444318,-0.007008
5.644957,-0.007138
5.846445,-0.00728
6.050086,-0.007435
6.25167,-0.0076
6.454481,-0.007778
6.655937,-0.007965
6.858675,-0.008165
7.059811,-0.008375
7.260785,-0.008595
7.461257,-0.008827
7.661422,-0.009069
7.861584,-0.009323
8.06204,-0.009587
8.262516,-0.009864
8.462642,-0.008227
8.663881,0.017078
8.864703,0.078249
9.064926,0.182215
